,category,concept_eng,concept,n_concept,n_concept_list,list,exemplar,count,avg_rank_order,dominance,min_rank,max_rank,first_occur,availability_montefinese,availability,outliers,classif,n_exemplars,llama3.1-70b,mixtral
85,FOODS,pasta,PASTA,122,9,8,PASTA_mezze maniche,6,10.5,0.1875,4,18,0.0,0.01091904842028099,0.06214951311001731,False,many_exemplars,31,5.876913070678711,8.479720115661621
97,FOODS,pasta,PASTA,122,9,8,PASTA_strozzapreti,4,10.0,0.125,2,20,0.0,0.01597614630643417,0.05738698268662439,False,many_exemplars,31,5.440079212188721,8.017580032348633
94,FOODS,pasta,PASTA,122,9,8,PASTA_secca,4,5.75,0.125,1,9,0.03125,0.03451867247693374,0.05070697455743041,False,many_exemplars,31,6.247077941894531,9.429140090942383
96,FOODS,pasta,PASTA,122,9,8,PASTA_stelline,4,16.0,0.125,8,28,0.0,0.0001497661630832966,0.04107296737141466,False,many_exemplars,31,5.929483413696289,9.953369140625
99,FOODS,pasta,PASTA,122,9,8,PASTA_tortellini,4,15.5,0.125,5,24,0.0,0.001487000154100955,0.040248490870668,False,many_exemplars,31,5.548923492431641,8.626434326171875
88,FOODS,pasta,PASTA,122,9,8,PASTA_pastina,5,10.2,0.15625,7,15,0.0,0.00193034263903244,0.03821427314865729,False,many_exemplars,31,6.037477493286133,9.149197578430176
100,FOODS,pasta,PASTA,122,9,8,PASTA_trofie,4,15.5,0.125,6,24,0.0,0.0006908058654790984,0.03781263212010914,False,many_exemplars,31,5.76486349105835,9.118144035339355
87,FOODS,pasta,PASTA,122,9,8,PASTA_pappardelle,4,15.75,0.125,7,22,0.0,0.0003172873800343196,0.03122245733290681,False,many_exemplars,31,5.5668230056762695,8.809212684631348
78,FOODS,pasta,PASTA,122,9,8,PASTA_gnocchi,4,15.0,0.125,5,20,0.0,0.001455734821765557,0.03088510483873816,False,many_exemplars,31,5.674938678741455,8.869145393371582
73,FOODS,pasta,PASTA,122,9,8,PASTA_ditalini,4,14.5,0.125,10,17,0.0,3.325425772814039e-05,0.01965858046972058,False,many_exemplars,31,5.875443458557129,8.436312675476074
110,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_in memory foam,13,1.538461538461538,0.40625,1,3,0.25,0.369997418196802,0.2859508748619615,False,many_exemplars,13,5.940774917602539,9.948081970214844
106,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_di piuma,14,2.642857142857143,0.4375,1,7,0.125,0.3418792372748763,0.2781574516308093,False,many_exemplars,13,5.809386730194092,10.101551055908203
102,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_da divano,10,4.0,0.3125,2,8,0.0,0.162343412660331,0.13909508653752,False,many_exemplars,13,5.938218116760254,10.81381607055664
112,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_ortopedico,6,2.666666666666667,0.1875,1,7,0.0625,0.1163868156393127,0.1227496623897316,False,many_exemplars,13,5.6347174644470215,9.721396446228027
105,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_di lattice,7,2.285714285714286,0.21875,1,4,0.0625,0.1440289419527679,0.1081564703513127,False,many_exemplars,13,6.091501235961914,10.189164161682129
111,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_morbido,6,2.833333333333333,0.1875,1,5,0.03125,0.1003589308979568,0.09026975918332732,False,many_exemplars,13,5.829202175140381,9.469218254089355
103,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_da letto,5,2.0,0.15625,1,3,0.0625,0.0998743252364082,0.07866107677577065,False,many_exemplars,13,5.787522315979004,10.310541152954102
109,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_guanciale,4,3.0,0.125,1,6,0.0625,0.06630925670132178,0.07349491864945501,False,many_exemplars,13,6.035633563995361,10.044780731201172
113,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_quadrato,5,4.0,0.15625,1,7,0.03125,0.05715749051442812,0.07017430458402131,False,many_exemplars,13,5.800476551055908,10.30246639251709
104,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_da viaggio,4,4.25,0.125,1,8,0.03125,0.03959565326835716,0.0589767239699546,False,many_exemplars,13,5.990609645843506,10.158408164978027
107,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_duro,6,3.833333333333333,0.1875,3,6,0.0,0.0562179085342456,0.0562179085342456,False,many_exemplars,13,6.034602165222168,10.54861068725586
108,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_ergonomico,4,3.0,0.125,1,4,0.03125,0.04426039908888429,0.04426039908888429,False,many_exemplars,13,5.810736656188965,10.220264434814453
101,FURNISHINGS/FITTINGS,pillow,CUSCINO,55,14,4,CUSCINO_da cervicale,4,4.75,0.125,3,8,0.0,0.01508987462456621,0.04392454160114544,False,many_exemplars,13,5.713683605194092,9.85369873046875
123,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_di legno,16,2.125,0.5,1,6,0.28125,0.4320270172005839,0.3615706311272613,False,many_exemplars,17,6.175341606140137,10.332693099975586
117,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_da cucina,12,3.416666666666667,0.375,1,14,0.15625,0.2700721407148954,0.2797899174726329,False,many_exemplars,17,6.006751537322998,10.355196952819824
129,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_rotondo,13,3.692307692307693,0.40625,1,12,0.15625,0.2831093805878055,0.2770335202192095,False,many_exemplars,17,6.2177205085754395,11.29332447052002
114,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_allungabile,12,4.25,0.375,1,11,0.0625,0.2211303579852359,0.2125465594322916,False,many_exemplars,17,6.081117153167725,10.124675750732422
120,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_da lavoro,9,5.555555555555555,0.28125,1,13,0.03125,0.1194733172971704,0.1467150471904543,False,many_exemplars,17,5.899024486541748,9.81927490234375
122,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_da pranzo,7,2.428571428571428,0.21875,1,5,0.125,0.1530059120986966,0.1411610767757707,False,many_exemplars,17,6.041922092437744,10.24472713470459
130,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_scrivania,6,3.833333333333333,0.1875,1,11,0.03125,0.09133489752821114,0.1194433051032017,False,many_exemplars,17,5.790870189666748,9.175761222839355
127,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_quadrato,7,4.857142857142857,0.21875,1,10,0.03125,0.0900046116455704,0.1092734671333643,False,many_exemplars,17,6.032945156097412,10.05726432800293
124,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_di plastica,9,3.888888888888889,0.28125,3,7,0.0,0.1297670363115957,0.1022544552401299,False,many_exemplars,17,6.200791358947754,9.473199844360352
128,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_rettangolare,8,5.125,0.25,2,9,0.0,0.08854234686586504,0.09794656398900288,False,many_exemplars,17,5.705061912536621,9.32137393951416
115,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_da biliardo,6,3.5,0.1875,1,6,0.03125,0.0793892971712788,0.0793892971712788,False,many_exemplars,17,5.933670997619629,10.33214282989502
125,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_di vetro,5,3.4,0.15625,2,6,0.0,0.05239486557092626,0.06290386652752895,False,many_exemplars,17,6.207487106323242,9.77448558807373
126,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_pieghevole,7,5.0,0.21875,3,7,0.0,0.05237488597036922,0.05237488597036922,False,many_exemplars,17,5.6710405349731445,8.617514610290527
116,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_da caffè,4,5.5,0.125,2,9,0.0,0.02147540976548422,0.04833607502027412,False,many_exemplars,17,6.0167975425720215,10.00761604309082
118,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_da giardino,6,3.666666666666667,0.1875,2,5,0.0,0.06072986787117595,0.04731623866335963,False,many_exemplars,17,5.967523574829102,10.042000770568848
119,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_da gioco,4,7.0,0.125,2,12,0.0,0.01534636116697433,0.04670330087732763,False,many_exemplars,17,6.141390800476074,10.816052436828613
121,FURNITURE,table,TAVOLO,167,7,7,TAVOLO_da ping pong,4,5.5,0.125,4,7,0.0,0.005578881262791058,0.02436897387167261,False,many_exemplars,17,5.968964099884033,8.740140914916992
139,HOBBIES,video game,VIDEOGIOCO,186,11,12,VIDEOGIOCO_di sport,13,4.923076923076923,0.40625,1,14,0.03125,0.2206633441673149,0.2294850989023877,False,many_exemplars,17,6.060370445251465,9.449236869812012
135,HOBBIES,video game,VIDEOGIOCO,186,11,12,VIDEOGIOCO_di azione,12,2.833333333333333,0.375,1,6,0.09375,0.2695872034270096,0.2033531798659677,False,many_exemplars,17,5.872543811798096,9.372349739074707
